a 可
avvt 摻
avvu 聮
avvx 聯
avvx 聯
avwn 𱟵
avx 拗
avxk 拗
avxk 聈
avye 𱂆
avyh 𱂈
avyq 𱂅
aw 抱
awan 𱠣
awck 抱
awck 抱
awd 捭
awdi 捭
awdi 聛
awei 撳
awfq 摋
awgo 𰓴
awhs 摖
awht 𭠾
awi 推
awio 推
awjo 捦
awjr 挿
awjy 𰔮
awk 扦
awkf 擕
awkk 揰
awko 扦
awkw 瓩
awl 拘
awll 𱡇
awlv 拘
awlv 捁
awlv 聕
awod 扚
awp 掬
awpd 𭢜
awpm 掬
awq 攒
awqk 攒
awqm 攢
awr 插
awrj 插
awrj 揷
aws 撚
awsb 𭠮
awsi 抣
awsi 𮶏
awsj 𭢝
awss 捶
awsu 撚
awsu 撚
awtl 𮋱
awtx 𭠝
awty 聦
awty 揔
awua 揈
awua 𮘱
awuo 撨
awur 聭
awv 携
awvj 携
awvv 抅
aww 瓦
awwa 瓦
awwo 搖
awwo 掏
awww ⽡
awwy 掤
awxx 搊
awyi 𭞓
awyo 抈
ax 击
axa 挦
axac 挦
axax 揵
axb 报
axbo 拨
axbs 紥
axbu 报
axcj 邨
axd 顿
axdk 顿
axdm 頓
axes 𭡯
axfa 撏
axg 屯
axgi 屯
axgo 击
axi 扎
axio 扎
axir 耴
axjr 旾
axko 扐
axkp 𭢡
axkv 捸
axl 扫
axlj 𭡑
axlo 扫
axlv 拁
axlv 𬻎
axnf 𭡈
axnj 晉
axo 拟
axot 拟
axpd 迍
axq 捃
axql 捃
axqw 𮓞
axv 丏
axvi 丏
axvi 𬺶
axvq 摡
axvs 𭡝
axvx 揤
axwa 摪
axx 擢
axxe 摺
axxg 拙
axxg 聉
axxi 挧
axxi 𭠐
axxo 𭢢
axxt 摎
axxw 擢
axxw 搚
axxx 拹
axy 掃
axym 掃
ay 势
aycb 𬻖
aye 拾
ayeo 拾
ayff 揯
ayff 搄
ayfo 扏
ayh 挥
ayhc 挥
ayi 忑
ayik 忑
ayio 抋
